========
TRAINING
========

Max epochs   500000. Desired error: 0.0109999999.
Epochs            1. Current error: 0.2142808288. Bit fail 1201.
Epochs            2. Current error: 0.2036623061. Bit fail 1118.
Epochs            3. Current error: 0.1976138055. Bit fail 994.
Epochs            4. Current error: 0.1939140558. Bit fail 841.
Epochs            5. Current error: 0.1914886236. Bit fail 724.
Epochs            6. Current error: 0.1898046434. Bit fail 655.
Epochs            7. Current error: 0.1885775626. Bit fail 631.
Epochs            8. Current error: 0.1876404285. Bit fail 618.
Epochs            9. Current error: 0.1868905574. Bit fail 614.
Epochs           10. Current error: 0.1862621605. Bit fail 605.
Epochs           11. Current error: 0.1857119501. Bit fail 588.
Epochs           12. Current error: 0.1852134168. Bit fail 589.
Epochs           13. Current error: 0.1847477555. Bit fail 587.
Epochs           14. Current error: 0.1843035221. Bit fail 584.
Epochs           15. Current error: 0.1838725805. Bit fail 607.
Epochs           16. Current error: 0.1834518760. Bit fail 608.
Epochs           17. Current error: 0.1830363423. Bit fail 609.
Epochs           18. Current error: 0.1826241612. Bit fail 609.
Epochs           19. Current error: 0.1822143346. Bit fail 609.
Epochs           20. Current error: 0.1818044931. Bit fail 610.
Epochs           21. Current error: 0.1813947856. Bit fail 610.
Epochs           22. Current error: 0.1809837967. Bit fail 611.
Epochs           23. Current error: 0.1805709451. Bit fail 612.
Epochs           24. Current error: 0.1801560372. Bit fail 613.
Epochs           25. Current error: 0.1797378808. Bit fail 616.
Epochs           26. Current error: 0.1793169975. Bit fail 617.
Epochs           27. Current error: 0.1788920015. Bit fail 618.
Epochs           28. Current error: 0.1784631014. Bit fail 617.
Epochs           29. Current error: 0.1780304760. Bit fail 617.
Epochs           30. Current error: 0.1775929481. Bit fail 617.
Epochs           31. Current error: 0.1771508604. Bit fail 616.
Epochs           32. Current error: 0.1767032295. Bit fail 617.
Epochs           33. Current error: 0.1762517691. Bit fail 618.
Epochs           34. Current error: 0.1757946163. Bit fail 617.
Epochs           35. Current error: 0.1753317714. Bit fail 616.
Epochs           36. Current error: 0.1748651713. Bit fail 620.
Epochs           37. Current error: 0.1743932068. Bit fail 622.
Epochs           38. Current error: 0.1739164889. Bit fail 622.
Epochs           39. Current error: 0.1734345257. Bit fail 623.
Epochs           40. Current error: 0.1729484797. Bit fail 622.
Epochs           41. Current error: 0.1724581122. Bit fail 624.
Epochs           42. Current error: 0.1719639301. Bit fail 624.
Epochs           43. Current error: 0.1714656502. Bit fail 625.
Epochs           44. Current error: 0.1709633917. Bit fail 621.
Epochs           45. Current error: 0.1704591513. Bit fail 622.
Epochs           46. Current error: 0.1699513495. Bit fail 623.
Epochs           47. Current error: 0.1694414169. Bit fail 624.
Epochs           48. Current error: 0.1689300090. Bit fail 620.
Epochs           49. Current error: 0.1684159935. Bit fail 623.
Epochs           50. Current error: 0.1679012030. Bit fail 619.
Epochs           51. Current error: 0.1673854738. Bit fail 601.
Epochs           52. Current error: 0.1668690294. Bit fail 601.
Epochs           53. Current error: 0.1663534343. Bit fail 605.
Epochs           54. Current error: 0.1658376902. Bit fail 608.
Epochs           55. Current error: 0.1653232276. Bit fail 612.
Epochs           56. Current error: 0.1648097187. Bit fail 613.
Epochs           57. Current error: 0.1642980278. Bit fail 616.
Epochs           58. Current error: 0.1637879312. Bit fail 620.
Epochs           59. Current error: 0.1632809192. Bit fail 628.
Epochs           60. Current error: 0.1627761275. Bit fail 630.
Epochs           61. Current error: 0.1622737646. Bit fail 634.
Epochs           62. Current error: 0.1617757082. Bit fail 635.
Epochs           63. Current error: 0.1612802893. Bit fail 636.
Epochs           64. Current error: 0.1607894301. Bit fail 638.
Epochs           65. Current error: 0.1603030860. Bit fail 638.
Epochs           66. Current error: 0.1598202288. Bit fail 638.
Epochs           67. Current error: 0.1593416631. Bit fail 638.
Epochs           68. Current error: 0.1588685215. Bit fail 636.
Epochs           69. Current error: 0.1584004760. Bit fail 638.
Epochs           70. Current error: 0.1579375565. Bit fail 639.
Epochs           71. Current error: 0.1574798673. Bit fail 624.
Epochs           72. Current error: 0.1570268273. Bit fail 624.
Epochs           73. Current error: 0.1565800309. Bit fail 627.
Epochs           74. Current error: 0.1561387181. Bit fail 624.
Epochs           75. Current error: 0.1557031721. Bit fail 620.
Epochs           76. Current error: 0.1552736461. Bit fail 624.
Epochs           77. Current error: 0.1548492908. Bit fail 624.
Epochs           78. Current error: 0.1544311643. Bit fail 622.
Epochs           79. Current error: 0.1540183872. Bit fail 602.
Epochs           80. Current error: 0.1536124349. Bit fail 598.
Epochs           81. Current error: 0.1532122046. Bit fail 599.
Epochs           82. Current error: 0.1528180540. Bit fail 599.
Epochs           83. Current error: 0.1524294615. Bit fail 597.
Epochs           84. Current error: 0.1520471126. Bit fail 597.
Epochs           85. Current error: 0.1516707987. Bit fail 601.
Epochs           86. Current error: 0.1512997895. Bit fail 602.
Epochs           87. Current error: 0.1509351581. Bit fail 603.
Epochs           88. Current error: 0.1505763382. Bit fail 604.
Epochs           89. Current error: 0.1502225846. Bit fail 611.
Epochs           90. Current error: 0.1498753726. Bit fail 613.
Epochs           91. Current error: 0.1495333463. Bit fail 609.
Epochs           92. Current error: 0.1491971910. Bit fail 609.
Epochs           93. Current error: 0.1488661915. Bit fail 610.
Epochs           94. Current error: 0.1485409737. Bit fail 611.
Epochs           95. Current error: 0.1482206136. Bit fail 613.
Epochs           96. Current error: 0.1479060650. Bit fail 614.
Epochs           97. Current error: 0.1475963444. Bit fail 612.
Epochs           98. Current error: 0.1472918540. Bit fail 609.
Epochs           99. Current error: 0.1469926536. Bit fail 608.
Epochs          100. Current error: 0.1466977447. Bit fail 609.
Epochs          101. Current error: 0.1464082748. Bit fail 609.
Epochs          102. Current error: 0.1461231858. Bit fail 608.
Epochs          103. Current error: 0.1458430886. Bit fail 610.
Epochs          104. Current error: 0.1455670893. Bit fail 613.
Epochs          105. Current error: 0.1452957690. Bit fail 614.
Epochs          106. Current error: 0.1450288147. Bit fail 615.
Epochs          107. Current error: 0.1447667181. Bit fail 615.
Epochs          108. Current error: 0.1445079446. Bit fail 617.
Epochs          109. Current error: 0.1442535520. Bit fail 615.
Epochs          110. Current error: 0.1440031081. Bit fail 609.
Epochs          111. Current error: 0.1437569708. Bit fail 590.
Epochs          112. Current error: 0.1435141712. Bit fail 591.
Epochs          113. Current error: 0.1432756782. Bit fail 590.
Epochs          114. Current error: 0.1430406570. Bit fail 590.
Epochs          115. Current error: 0.1428093016. Bit fail 591.
Epochs          116. Current error: 0.1425810903. Bit fail 591.
Epochs          117. Current error: 0.1423567683. Bit fail 590.
Epochs          118. Current error: 0.1421355605. Bit fail 591.
Epochs          119. Current error: 0.1419170648. Bit fail 590.
Epochs          120. Current error: 0.1417025179. Bit fail 590.
Epochs          121. Current error: 0.1414907277. Bit fail 588.
Epochs          122. Current error: 0.1412817240. Bit fail 588.
Epochs          123. Current error: 0.1410762072. Bit fail 588.
Epochs          124. Current error: 0.1408734322. Bit fail 587.
Epochs          125. Current error: 0.1406733692. Bit fail 587.
Epochs          126. Current error: 0.1404761523. Bit fail 586.
Epochs          127. Current error: 0.1402818859. Bit fail 586.
Epochs          128. Current error: 0.1400892884. Bit fail 586.
Epochs          129. Current error: 0.1399001926. Bit fail 588.
Epochs          130. Current error: 0.1397132576. Bit fail 588.
Epochs          131. Current error: 0.1395286173. Bit fail 587.
Epochs          132. Current error: 0.1393467337. Bit fail 586.
Epochs          133. Current error: 0.1391672045. Bit fail 586.
Epochs          134. Current error: 0.1389891952. Bit fail 586.
Epochs          135. Current error: 0.1388140321. Bit fail 584.
Epochs          136. Current error: 0.1386403292. Bit fail 566.
Epochs          137. Current error: 0.1384690702. Bit fail 565.
Epochs          138. Current error: 0.1383005828. Bit fail 564.
Epochs          139. Current error: 0.1381332129. Bit fail 564.
Epochs          140. Current error: 0.1379677653. Bit fail 562.
Epochs          141. Current error: 0.1378045380. Bit fail 562.
Epochs          142. Current error: 0.1376434118. Bit fail 562.
Epochs          143. Current error: 0.1374837607. Bit fail 562.
Epochs          144. Current error: 0.1373260021. Bit fail 563.
Epochs          145. Current error: 0.1371697634. Bit fail 562.
Epochs          146. Current error: 0.1370153129. Bit fail 562.
Epochs          147. Current error: 0.1368626207. Bit fail 562.
Epochs          148. Current error: 0.1367116272. Bit fail 563.
Epochs          149. Current error: 0.1365616769. Bit fail 563.
Epochs          150. Current error: 0.1364135891. Bit fail 562.
Epochs          151. Current error: 0.1362675726. Bit fail 561.
Epochs          152. Current error: 0.1361220032. Bit fail 564.
Epochs          153. Current error: 0.1359786242. Bit fail 564.
Epochs          154. Current error: 0.1358360201. Bit fail 564.
Epochs          155. Current error: 0.1356949508. Bit fail 564.
Epochs          156. Current error: 0.1355558038. Bit fail 563.
Epochs          157. Current error: 0.1354169399. Bit fail 564.
Epochs          158. Current error: 0.1352802217. Bit fail 564.
Epochs          159. Current error: 0.1351441145. Bit fail 565.
Epochs          160. Current error: 0.1350096166. Bit fail 565.
Epochs          161. Current error: 0.1348761916. Bit fail 565.
Epochs          162. Current error: 0.1347439140. Bit fail 568.
Epochs          163. Current error: 0.1346130520. Bit fail 568.
